Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,23300.03956,24045.74942,25835.64314,27086.03985,24630.93927,23512.6026,24984.27945,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968,25655.10202,
Afghanistan,AFG,247.66414,269.229693,366.2304432,370.382294,444.1844041,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599,550.0684588,
Angola,AGO,1890.849727,2585.133522,3108.268643,4068.978456,3117.896944,3585.905553,4615.867475,5102.489969,5258.407376,5412.692348,4170.730358,3509.604211,4100.289786,
Albania,ALB,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.360204,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4131.872341,4537.579056,
Andorra,AND,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567,39146.54884,
Arab World,ARB,3747.312977,4338.385738,4939.53,6116.581229,5159.342763,5918.315891,6856.035033,7465.13523,7510.729986,7456.598173,6429.128604,6185.063514,6239.713933,
United Arab Emirates,ARE,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039,40698.84934,
Argentina,ARG,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14398.35877,
Armenia,ARM,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117,3936.79832,
American Samoa,ASM,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11901.97526,11744.81555,11394.4753,
Antigua and Barbuda,ATG,11452.73878,12812.76444,14350.91889,14797.36849,13082.28181,12174.6978,11931.204,12517.55794,12194.54959,12900.903,13602.42124,14506.60354,14803.01093,
Australia,AUS,33961.6818,36019.20305,40905.47089,49535.25787,42709.8033,51936.88871,62411.78545,67864.68986,67990.29003,62327.55594,56561.41238,49896.6811,53799.93809,
Austria,AUT,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51704.54119,44206.78428,44731.01086,47290.91165,
Azerbaijan,AZE,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4131.61831,
Burundi,BDI,150.4876135,165.9047485,170.8151515,196.2718079,209.8537621,231.7955369,247.2293791,250.3627366,255.372691,273.538285,304.3742207,281.1813376,292.0052103,
Belgium,BEL,36967.25918,38852.37293,44403.7669,48424.5756,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47351.97418,40361.15419,41260.97755,43323.80734,
Benin,BEN,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.3281554,943.686575,783.9630778,788.5324424,827.3936794,
Burkina Faso,BFA,406.9988071,420.5825233,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,583.8308982,642.0371483,
Bangladesh,BGD,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158849,1358.779186,1516.51327,
Bulgaria,BGR,3869.529455,4490.201777,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8227.960406,
Bahrain,BHR,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22560.58127,23655.0356,
"Bahamas, The",BHS,29874.65414,30274.99032,31018.02949,30188.48444,28129.6075,27979.11493,27472.25617,28815.5274,28171.986,28671.34697,30483.8201,30260.30591,30762.01244,
Bosnia and Herzegovina,BIH,2967.834056,3403.815297,4180.913532,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.636043,5148.208517,
Belarus,BLR,3125.810535,3847.434124,4735.657608,6377.369732,5351.355382,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5025.405064,5727.511718,
Belize,BLZ,3933.262143,4187.290497,4324.773045,4470.220796,4253.246753,4342.963173,4515.892701,4644.559565,4673.245037,4813.718033,4905.536645,4923.358922,4971.201636,
Bermuda,BMU,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,,
Bolivia,BOL,1046.427384,1233.591869,1389.62935,1736.930084,1776.866476,1981.170116,2377.688771,2645.227753,2947.938526,3124.00031,3077.026199,3117.330459,3393.955818,
Brazil,BRA,4770.183845,5860.145829,7313.557773,8787.610658,8553.381368,11224.15408,13167.47289,12291.46685,12216.90446,12026.61939,8750.222996,8639.365743,9821.407686,
Barbados,BRB,14223.25544,15185.1192,16919.24679,17243.67966,16087.72938,16203.15557,16610.41835,16536.21464,16326.91348,16261.79932,16129.04928,15891.62655,16356.98011,
Brunei Darussalam,BRN,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41802,28290.5852,
Bhutan,BTN,1247.061392,1335.456906,1741.142552,1795.181307,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2522.794953,2616.010343,2782.367967,3130.233543,
Botswana,BWA,5351.253732,5374.554867,5714.047936,5623.379566,5185.729845,6346.156204,7483.878689,6901.971971,7001.034418,7493.752924,6521.146128,6954.144126,7595.611141,
Central African Republic,CAF,323.9805112,347.6071719,397.0171544,456.8618268,449.9612041,446.4436878,490.5103907,483.1860932,337.484979,377.1321263,348.3814271,382.0702811,418.411287,
Canada,CAN,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52418.31506,50633.20882,43525.37019,42348.94546,45032.11991,
Central Europe and the Baltics,CEB,8346.89497,9465.010041,11998.3092,14549.84218,12259.05865,12551.88023,13871.63242,12997.92622,13709.61259,14147.9978,12453.17713,12764.28773,14159.23242,
Switzerland,CHE,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82016.02131,79866.03187,80189.69686,
Channel Islands,CHI,57210.73229,62261.82801,73569.64496,,,,,,,,,,,
Chile,CHL,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14794.31583,13736.63569,13960.89421,15346.4497,
China,CHN,1753.417829,2099.229435,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8117.267465,8826.994096,
Cote d'Ivoire,CIV,931.754287,951.9478956,1065.896375,1242.431044,1217.749206,1219.749096,1214.703946,1250.808924,1423.682282,1568.627628,1715.105518,1493.506061,1537.504031,
Cameroon,CMR,1030.038193,1081.369831,1215.808213,1396.824988,1338.884377,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1391.751883,1451.865747,
"Congo, Dem. Rep.",COD,218.5235092,255.5913138,286.5075372,327.7676543,298.8069562,334.2317025,387.3235796,424.8593185,458.2384062,487.0814869,497.6297557,471.6359456,462.7795441,
"Congo, Rep.",COG,1637.064381,2012.11007,2111.209489,2881.594116,2255.333119,2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1762.809913,1654.010322,
Colombia,COL,3354.021804,3677.134042,4635.692277,5383.132694,5119.191641,6230.738366,7207.028905,7904.495789,8065.960376,7974.406373,6085.209979,5813.694519,6408.920012,
Comoros,COM,1068.600321,1113.957757,1238.461514,1387.594626,1339.337191,1315.214806,1446.068018,1403.434335,1504.931007,1511.826037,1271.057042,1287.406402,1312.333925,
Cabo Verde,CPV,2048.13459,2304.289902,3112.285601,3638.905946,3444.5566,3312.825985,3670.429453,3408.482762,3557.870977,3532.993527,2996.362046,3082.157104,3244.409561,
Costa Rica,CRI,4697.011138,5245.187373,6120.6234,6911.136152,6809.396224,8199.414621,9186.59639,9985.36959,10569.66631,10630.9979,11393.02842,11767.50425,11677.26904,
Caribbean small states,CSS,7228.489203,8016.263621,8889.54406,10021.61236,8381.415142,9059.000053,9724.12451,9978.387147,10020.57332,10121.31048,9835.190116,9339.012783,9448.224139,
Cuba,CUB,3779.05707,4669.060916,5184.494227,5376.447622,5484.7763,5676.141403,6075.924306,6425.941119,6760.15344,7050.493249,7602.278668,7961.84588,8433.092699,
Curacao,CUW,,,,,,,,,,,,,,
Cayman Islands,CYM,47632.1961,64103.21481,,,,,,,,,,,,
Cyprus,CYP,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28984.91481,27942.31667,27400.80299,23212.2247,23666.97357,25233.57098,
Czech Republic,CZE,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18483.71648,20368.13856,
Germany,DEU,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48042.56343,41323.9215,42232.57421,44469.90906,
Djibouti,DJI,904.7297489,965.6693779,1047.586896,1214.077118,1253.657431,1325.990724,1430.986898,1536.150685,1477.363042,1595.146365,1761.610158,1872.234623,1927.589706,
Dominica,DMA,5157.447918,5511.462824,5939.053585,6446.663832,6866.224899,6912.435714,6986.046687,6745.849758,6933.413648,7193.668111,7392.234584,7824.921777,6719.337166,
Denmark,DNK,48799.82037,52026.99311,58487.04501,64322.06664,58163.29359,58041.41122,61753.66007,58507.50021,61191.19263,62548.98502,53012.99658,53578.75657,56307.5083,
Dominican Republic,DOM,3910.017774,4067.332917,4647.310359,5011.037937,4952.677503,5453.926861,5765.496453,5973.222937,6094.734904,6348.837769,6534.908555,6793.538125,7052.258839,
Algeria,DZA,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.41332,5565.134521,5471.123389,5466.425778,4162.852181,3943.49755,4055.247211,
East Asia & Pacific (excluding high income),EAP,1639.192548,1959.126448,2459.424294,3091.046068,3328.867944,4008.912012,4865.856302,5389.269721,5905.256026,6303.614988,6510.60489,6579.021588,7126.385077,
Early-demographic dividend,EAR,1769.157206,1993.072619,2329.332549,2585.535943,2449.691023,2931.116467,3244.488829,3351.452035,3364.234825,3430.194553,3281.296082,3304.825187,3513.220852,
East Asia & Pacific,EAS,4829.312038,5084.352774,5647.054035,6476.448067,6628.144362,7676.520589,8842.717855,9401.269325,9445.932453,9663.423187,9546.304672,9793.049015,10368.48391,
Europe & Central Asia (excluding high income),ECA,4276.016554,5242.451692,6775.454182,8365.956843,6546.592254,7759.082166,9539.706873,10048.79748,10620.74073,9851.283117,7485.565283,7125.250957,7947.079776,
Europe & Central Asia,ECS,19182.22057,20701.3451,24104.77554,26352.5679,23087.37781,23532.29804,26013.13929,24973.05693,25978.79678,26197.31383,22452.39948,22248.7986,23422.19437,
Ecuador,ECU,3021.942547,3350.786541,3590.718086,4274.952065,4255.565701,4657.302361,5223.351763,5702.104313,6074.090829,6396.630483,6150.155955,6099.315303,6273.488892,
"Egypt, Arab Rep.",EGY,1168.115231,1375.196316,1640.476068,2011.246154,2291.667062,2602.479549,2747.480327,3181.441708,3213.389158,3327.754247,3547.713012,3479.281246,2412.727082,
Euro area,EMU,31965.46296,33782.09234,38700.38601,42220.04455,38480.92244,37605.14599,40610.71931,37604.58584,39111.44949,39823.50578,34362.64506,35039.41548,36870.17553,
Eritrea,ERI,276.7508096,297.8280588,317.3294336,326.0825642,430.7544499,482.1490904,582.7755302,,,,,,,
Spain,ESP,26510.71745,28482.60948,32709.40104,35579.30993,32334.00548,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445,25789.51955,26616.7578,28156.81584,
Estonia,EST,10338.31322,12595.41065,16586.4052,18094.54805,14726.31828,14638.60482,17454.84342,17421.89022,19072.23852,19949.58138,17155.87418,17736.8027,19704.65504,
Ethiopia,ETH,161.6266248,193.7949056,243.3026822,325.3825543,379.7566385,341.3099092,354.8463544,468.5067249,502.1535887,571.1622759,645.4650067,712.87795,767.5634778,
European Union,EUU,29092.30971,30921.99357,35593.28598,38136.07685,33979.59642,33676.04694,36406.73166,34234.02801,35586.56797,36670.8223,32206.69761,32263.53852,33723.2706,
Fragile and conflict affected situations,FCS,801.7580247,925.4140755,1110.055739,1401.045377,1279.55041,1487.456477,1596.311287,1795.562095,1828.861316,1806.318884,1602.641823,1495.683294,1608.798658,
Finland,FIN,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42424.22081,43433.03222,45703.32787,
Fiji,FJI,3658.630832,3749.939813,4078.82327,4177.657789,3369.408247,3651.966784,4353.121392,4546.738504,4763.068956,5061.397575,4889.461454,5197.50914,5589.388833,
France,FRA,34760.18777,36443.62344,41508.43269,45334.11091,41575.41618,40638.334,43790.7354,40874.71596,42592.95152,43008.65257,36613.37522,36870.21913,38476.65864,
Faroe Islands,FRO,35847.45356,40719.57503,47024.2297,49773.16687,46521.50171,47397.90292,50789.0486,48421.80307,53612.825,57543.66906,50581.96849,,,
"Micronesia, Fed. Sts.",FSM,2355.544465,2397.451838,2441.501551,2516.018683,2693.023278,2861.771348,3000.948119,3150.910602,3047.584425,3057.24559,3018.008675,3143.749107,3187.556848,
Gabon,GAB,6826.880545,7141.549167,8352.817101,10094.02746,7603.660223,8754.113376,10716.20258,9774.181017,9679.758914,9692.182125,7448.715685,7078.72954,7413.795207,
United Kingdom,GBR,41732.64054,44252.31582,50134.3161,46767.59222,38262.18213,38893.01849,41412.34924,41790.77914,42724.06788,46783.46922,44305.55463,40412.03362,39720.44343,
Georgia,GEO,1530.035094,1872.679332,2492.128778,3174.949001,2706.588511,2964.477041,3725.063219,4142.869176,4274.376865,4429.650075,3764.640916,3865.785693,4057.286081,
Ghana,GHA,498.1723904,922.9537497,1090.686718,1224.401554,1086.765038,1312.607557,1574.978653,1629.800222,2401.754122,1987.983363,1783.061087,1950.234377,2046.109986,
Gibraltar,GIB,,,,,,,,,,,,,,
Guinea,GIN,303.424498,427.0657265,622.1736568,674.6181787,636.2799568,634.9231054,614.8647662,677.0434993,726.0893942,743.5912878,727.302519,701.3886423,823.4937155,
"Gambia, The",GMB,432.1918787,439.3432874,519.0548058,607.955496,549.3178255,562.4837817,514.3781619,504.9739367,735.2358088,656.496763,704.9740416,707.5289845,709.077158,
Guinea-Bissau,GNB,424.9562044,418.9512693,481.33501,583.894419,544.8612801,545.7041208,688.1412395,603.9339835,621.9406736,610.4684902,591.8061497,648.8989366,723.6094119,
Equatorial Guinea,GNQ,10850.63334,12732.02759,15761.83913,22742.38159,16530.20937,17136.44568,21451.88617,21557.65187,20246.99308,19245.65151,11213.47523,9218.987324,9697.630234,
Greece,GRC,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18070.77678,17881.5267,18613.42387,
Grenada,GRD,6754.512393,6766.48686,7324.190456,7947.426509,7395.063622,7365.641538,7410.477525,7583.188055,7956.076548,8569.926734,9333.270231,9892.479497,10451.02988,
Greenland,GRL,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47262.28276,50408.33455,44912.26609,48159.66532,,
Guatemala,GTM,2077.83438,2256.56724,2489.955836,2794.226157,2635.758874,2825.519029,3187.841465,3299.605536,3452.834671,3687.763767,3923.573344,4140.737635,4470.989572,
Guam,GUM,26495.87758,26555.6452,27540.83913,29056.497,30025.56035,30700.43401,30862.11,32499.23425,33272.01871,34404.5674,35291.13642,35562.56753,35675.79417,
Guyana,GUY,1098.455216,1945.640034,2326.851954,2568.618908,2764.306686,3044.948083,3438.825278,3799.753364,3941.114661,4031.531939,4160.265415,4531.243527,4655.144448,
High income,HIC,32775.33706,34352.78119,37282.09827,39326.12359,36581.61856,38137.9556,41018.65187,40812.21025,41009.04412,41598.07858,39134.28941,39674.62175,41214.28084,
"Hong Kong SAR, China",HKG,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43737.04197,46193.61452,
Honduras,HND,1311.741714,1437.628785,1592.572182,1751.595857,1815.489496,1932.85829,2120.589469,2178.388555,2136.771718,2242.707459,2341.27532,2375.096327,2480.125929,
Heavily indebted poor countries (HIPC),HPC,450.2197836,524.4542163,608.8298631,714.8052726,699.2312273,751.2451657,816.1727046,853.0430255,926.5969751,952.2959233,918.4617485,903.4606825,970.6319121,
Croatia,HRV,10208.73063,11345.74226,13546.86567,15892.31603,14168.67371,13546.21421,14578.2901,13250.75712,13663.51913,13606.89344,11773.26466,12371.00216,13382.71985,
Haiti,HTI,465.3103865,505.4706206,615.8202308,674.7564147,668.2976046,662.2795182,740.9358452,766.8437623,810.2656073,830.1138816,814.5463952,734.8025912,765.6839246,
Hungary,HUN,11205.97134,11447.81687,13907.50338,15739.73541,13029.88338,13092.23376,14118.12263,12888.30459,13667.70279,14201.44883,12483.86594,12820.0882,14224.84646,
IBRD only,IBD,2274.390021,2667.93679,3285.086008,3905.210469,3750.663351,4511.442885,5283.085067,5561.142174,5820.744609,5954.494235,5567.332373,5541.793618,6043.385053,
IDA & IBRD total,IBT,1899.308024,2226.946578,2722.281294,3226.560162,3091.80862,3693.94054,4302.541238,4519.358954,4727.529615,4835.204865,4519.176995,4473.559036,4846.560308,
IDA total,IDA,611.4052019,732.5316008,838.7746677,984.6527648,943.6749556,1060.344966,1182.489343,1247.354228,1339.836847,1413.441925,1357.360982,1291.448292,1325.647121,
IDA blend,IDB,902.6840901,1140.724826,1288.59617,1499.963936,1369.972073,1559.863381,1758.640866,1891.820852,2009.949426,2127.256266,1968.999911,1782.698199,1734.022521,
Indonesia,IDN,1260.928834,1586.20504,1855.093915,2160.527605,2254.445592,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3334.549075,3570.284615,3846.864323,
IDA only,IDX,462.0256945,524.0988784,609.0757282,721.9843799,728.6093897,807.1554082,890.818313,919.5844446,999.2857872,1050.07692,1047.696117,1045.305747,1124.523563,
Isle of Man,IMN,39838.26676,44499.71831,57458.80376,75490.88424,69172.18604,73935.679,81304.85001,79028.04498,82356.82337,89941.64429,81672.0227,78730.16228,,
India,IND,707.008019,792.0259698,1018.166373,991.4846304,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1576.004018,1606.038285,1717.473878,1942.097401,
Not classified,INX,,,,,,,,,,,,,,
Ireland,IRL,50878.63952,54306.9131,61359.64508,61257.89689,52104.03472,48671.88829,52186.49627,49042.33825,51773.11137,55412.9286,61807.67037,64100.42995,69330.69015,
"Iran, Islamic Rep.",IRN,3215.653433,3738.689284,4857.368371,5574.410436,5619.117621,6531.92743,7729.343353,7832.902635,6036.192088,5540.984136,4862.299729,5219.109408,5593.853783,
Iraq,IRQ,1849.603911,2351.812429,3129.224922,4521.03247,3735.144836,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737,4914.727611,4584.617431,5017.968065,
Iceland,ISL,56250.68281,56121.32242,68428.34821,55632.10432,40640.9902,41851.73548,46181.95294,44562.81802,48023.62691,52855.14048,51213.66133,60529.92676,70056.87339,
Israel,ISR,20557.12408,21827.82317,24889.16836,29531.57216,27709.11754,30642.94062,33689.83853,32525.95659,36291.23211,37539.95182,35690.96308,37180.84981,40270.25135,
Italy,ITA,31959.26295,33410.74744,37698.78665,40640.18386,36976.84553,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30180.32151,30668.98143,31952.97592,
Jamaica,JAM,4082.240762,4311.85108,4621.856417,4903.184444,4303.539796,4685.58832,5093.972548,5208.996089,4976.848781,4839.892104,4925.415859,4883.86027,5114.041081,
Jordan,JOR,2203.083787,2537.30049,2762.806354,3385.609665,3492.130906,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775,4096.099275,4087.937517,4129.751664,
Japan,JPN,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34567.74568,38972.34064,38428.09732,
Kazakhstan,KAZ,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9030.383889,
Kenya,KEN,519.7999346,697.0066385,839.1081117,916.8992515,920.0816252,967.3504549,987.4453967,1155.020583,1229.101069,1335.123148,1355.055471,1462.503743,1594.834926,
Kyrgyz Republic,KGZ,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1219.824048,
Cambodia,KHM,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841,882.4901462,951.1112311,1013.665952,1093.762067,1163.18977,1269.907238,1384.423187,
Kiribati,KIR,1214.556667,1169.4774,1377.534684,1432.777431,1316.721614,1520.875339,1736.211995,1784.428931,1705.56891,1626.893872,1522.306195,1558.886953,1594.29287,
St. Kitts and Nevis,KNA,11884.77781,13355.56567,14541.88579,15762.70446,15074.21279,14904.94842,15742.95529,15219.1976,15977.28383,17061.30296,17247.17086,17492.80719,17924.06546,
"Korea, Rep.",KOR,18639.52221,20888.38015,23060.70788,20430.63946,18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886,
Kuwait,KWT,35490.26132,42717.55725,45793.97614,55571.99806,37567.30121,38497.61696,48268.5912,51264.07134,48399.80782,42996.31522,29109.06874,27368.28668,29040.36371,
Latin America & Caribbean (excluding high income),LAC,4826.020905,5593.115816,6526.301282,7494.625445,6945.770196,8537.477238,9514.015897,9440.558257,9553.442718,9736.740263,7887.48546,7620.864509,8350.108418,
Lao PDR,LAO,475.4164695,590.3013108,709.767087,899.4950787,948.1276421,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781,2159.433152,2338.692157,2457.377414,
Lebanon,LBN,5390.208134,5434.252482,6086.79541,7109.513163,8480.988762,8858.283972,8734.189185,8959.258471,8807.901335,8660.036928,8529.51366,8571.126248,8808.589448,
Liberia,LBR,290.9945021,331.473252,390.8416104,471.1993717,463.8559654,506.0630046,589.1650146,650.7136207,715.5370459,716.0529087,706.0594659,710.4360094,694.3195828,
Libya,LBY,8171.361651,9344.987518,11308.56661,14396.04865,10296.97353,12120.56217,5602.549434,13209.14078,10571.85076,6631.529047,4465.490366,4166.630529,5978.042926,
